序号,代码,名称,市场代码简称,最新价(元),涨跌幅(%),涨跌额(元),最高价(元),最低价(元),换手率(%),量比,成交量(股),成交额(元),市盈率(动)(倍),市净率(倍),总市值(元),流通市值(元)
167,002792,通宇通讯,SZ,23.76,5.37,1.210,24.25,23.30,5.19,1.26,1752.08万,4.18亿,-240.70,4.4330,124.46亿,80.27亿
168,300872,天阳科技,SZ,14.90,5.37,0.760,15.37,14.38,4.46,1.89,1881.33万,2.81亿,241.12,1.9586,72.73亿,62.88亿
169,688385,复旦微电,SH,48.65,5.30,2.450,49.98,48.41,3.51,1.19,1892.77万,9.31亿,67.55,6.4273,400.74亿,262.41亿
170,301517,陕西华达,SZ,36.53,5.27,1.830,37.30,35.49,4.21,1.58,410.61万,1.51亿,-86.36,4.3425,55.25亿,35.64亿
171,920178,锐翔智能,BJ,82.32,5.27,4.120,86.88,82.27,7.93,1.55,152.60万,1.29亿,41.54,5.8007,54.28亿,15.85亿
172,600288,大恒科技,SH,10.00,5.26,0.500,10.18,9.81,11.07,1.18,4834.08万,4.84亿,21.35,2.1950,43.68亿,43.68亿
173,603220,中贝通信,SH,18.22,5.26,0.910,18.60,17.82,4.85,1.63,2105.14万,3.85亿,-85.82万,2.5621,97.72亿,79.12亿
174,688530,欧莱新材,SH,41.31,5.25,2.060,45.83,41.22,15.22,1.12,1062.07万,4.62亿,40.63,7.8048,66.11亿,28.83亿
175,002065,东华软件,SZ,7.24,5.23,0.360,7.34,6.95,3.06,2.21,8905.31万,6.40亿,93.64,1.8988,232.08亿,210.53亿
176,002161,远 望 谷,SZ,5.43,5.23,0.270,5.55,5.25,2.77,0.97,2051.58万,1.11亿,-26.21,2.6585,40.17亿,40.16亿
177,001314,亿道信息,SZ,46.86,5.21,2.320,48.15,46.08,4.90,0.88,607.67万,2.87亿,38.94,3.2042,66.84亿,58.15亿
178,300499,高澜股份,SZ,25.04,5.21,1.240,26.14,24.93,7.07,1.25,1919.61万,4.90亿,126.21,5.5700,76.43亿,67.96亿
179,600556,天下秀,SH,4.68,5.17,0.230,4.77,4.46,4.45,1.71,8045.73万,3.74亿,656.06,2.2128,84.60亿,84.60亿
180,603950,长源东谷,SH,50.60,5.15,2.480,52.93,50.50,3.98,1.53,1288.04万,6.73亿,49.49,5.3705,164.01亿,163.88亿
181,603038,华立股份,SH,12.06,5.14,0.590,12.31,11.62,2.13,1.40,571.45万,6883.87万,11.78,2.2808,32.40亿,32.40亿
182,300383,光环新网,SZ,13.52,5.13,0.660,14.15,13.20,7.55,1.97,1.35亿,18.51亿,270.46,2.0542,243.03亿,242.59亿
183,605398,新炬网络,SH,20.20,5.10,0.980,20.36,19.20,1.41,1.50,229.90万,4605.62万,262.18,3.1635,32.87亿,32.87亿
184,002585,双星新材,SZ,9.10,5.08,0.440,9.53,8.77,15.25,2.14,1.35亿,12.65亿,639.85,1.2511,103.86亿,80.69亿
